timestamp,container/edge-router_1/CPU_usage,container/edge-router_1/MEM_usage,container/edge-router_1/Cached_MEM_usage,container/edge-router_1/NET_Input,container/edge-router_1/NET_Output,container/edge-router_1/FS_usage,container/edge-router_1/FS_reads,container/edge-router_1/FS_writes,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1545211080,3.156355578,42926080,270336,396519.1648,399598.5554,53248,0,0,4.732986648,164044800,106496,23444.14434,381468.6352,81920,0,0,35.77791514,220.26688
1545211050,3.506430432,42926080,270336,396253.6752,399553.4398,53248,0,0,4.138042283,162582528,106496,24040.34032,384769.3406,81920,0,0,34.00247291,203.2693287
1545211010,3.102694462,42926080,270336,343417.6712,346480.2677,53248,0,0,3.542879974,155279360,106496,21499.58281,329782.7762,81920,0,0,30.52018916,171.5351037
1545210990,3.191320402,42926080,270336,395829.544,398833.0898,53248,0,0,3.732638854,147181568,106496,22989.47006,379991.1248,81920,0,0,34.67209687,207.2144143
1545210960,1.820445737,42926080,270336,253935.0985,256615.1941,53248,0,0,2.254376381,139550720,106496,14223.51816,238453.484,81920,0,0,32.49209062,189.8069021
1545210930,3.157260703,42926080,270336,397243.5047,400138.0318,53248,0,0,3.574204908,135000064,106496,24736.33708,386968.273,81920,0,0,32.92667406,191.0328903
1545210840,1.616203512,42926080,270336,185143.752,186929.537,53248,0,0,1.682410287,123490304,106496,11527.50032,177949.7898,81920,0,0,32.98181818,200.4727273
1545210820,2.894660585,42926080,270336,360799.09,369463.3596,53248,0,0,3.66818391,121896960,106496,22025.73792,362835.2002,81920,0,0,29.80054183,193.4035164
1545210780,1.873082915,42921984,270336,258031.0728,260061.5993,53248,0,0,2.380468919,129474560,106496,15360.19299,252997.2665,81920,0,0,31.53529989,189.8665115
1545210750,2.786232971,42921984,270336,352822.5277,355857.3358,53248,0,0,3.149298922,137588736,106496,21529.69737,339089.4024,81920,0,0,30.12990794,177.3952913
1545210660,3.257789394,42921984,270336,393702.6994,395633.3301,53248,0,0,4.15807331,120299520,106496,22860.02994,369660.0106,81920,0,0,34.45203985,200.6944949
1545210630,2.321742183,42921984,270336,300607.6702,302932.1786,53248,0,0,2.631105464,116678656,106496,17691.27286,289351.1687,81920,0,0,37.21082497,231.4309617
1545210600,3.109173518,42917888,270336,366355.0729,369624.9656,53248,0,0,3.817889193,114909184,106496,21906.64467,351846.1003,81920,0,0,32.56008435,183.7435916
1545210510,3.208191428,42917888,270336,377148.48,380098.1016,53248,0,0,3.928543709,107630592,106496,23027.74516,366750.2213,81920,0,0,33.01938252,186.2067712
1545210480,1.627570849,42917888,270336,183947.4084,186289.814,53248,0,0,1.657119217,100667392,106496,10264.4253,155336.7159,81920,0,0,31.45454545,177.8181818
1545210460,2.813904231,42913792,270336,348334.1524,351086.7351,53248,0,0,3.528338865,93876224,106496,20292.99089,338304.4336,81920,0,0,30.41928797,181.5702389
1545210450,3.106498538,42913792,270336,381686.5932,383882.2712,53248,0,0,4.001667174,94363648,106496,23818.19184,395407.5413,81920,0,0,36.9811458,213.0506718
1545210420,1.996028697,42913792,270336,263288.7956,265535.708,53248,0,0,3.017594789,93503488,106496,16092.22398,261541.9043,81920,0,0,32.09207608,178.2246627
1545210390,2.458099403,42913792,270336,302032.1168,304568.9975,53248,0,0,3.563637679,93458432,106496,18131.75744,288908.8982,81920,0,0,29.52942032,164.9210852
1545210360,2.445734029,42909696,270336,326045.821,329135.1301,53248,0,0,4.001051708,78241792,106496,21164.00388,325604.0166,81920,0,0,31.58296665,182.7702826
1545210350,2.212098994,42909696,270336,297266.7288,299809.7988,53248,0,0,3.527754473,89890816,106496,18057.0117,295547.9537,81920,0,0,31.87330679,190.912562
1545210340,2.70771552,42909696,270336,369612.7777,372373.1682,53248,0,0,4.131607066,80642048,106496,21848.2237,361245.1002,81920,0,0,31.94487373,189.2511045
1545210330,2.082131776,42909696,270336,295949.3832,297936.2781,53248,0,0,3.172304057,114708480,106496,16683.55906,289502.3641,81920,0,0,32.41818182,188.2181818
1545210320,2.837933186,42909696,270336,358761.058,361548.1224,53248,0,0,3.827966351,114892800,106496,21466.95918,346064.4118,81920,0,0,32.25219984,182.8412479
1545210290,2.610251049,42905600,270336,323692.1839,326740.4059,53248,0,0,3.334283364,114302976,106496,20280.57186,333849.0462,81920,0,0,34.01818182,198.7454545
1545210270,2.492153283,42897408,270336,352570.6661,354924.6467,53248,0,0,3.091543592,110137344,106496,20045.15481,338783.6501,81920,0,0,30.67384269,192.3342667
1545210260,3.261045861,42897408,270336,437908.2813,440632.244,53248,0,0,3.988855521,110424064,106496,24818.8687,420793.2955,81920,0,0,37.38249786,232.8042328
1545210230,2.81256524,42897408,270336,361726.3332,357612.6139,53248,0,0,3.176743433,103174144,106496,19362.20576,318508.5505,81920,0,0,35.72987126,216.7794021
1545210200,3.308258014,42897408,270336,417206.5831,420327.2032,53248,0,0,4.270345115,109101056,106496,24015.16245,401346.1457,81920,0,0,32.16480599,187.22499
1545210190,2.424099517,42897408,270336,305668.3614,308070.2715,53248,0,0,3.499602566,109449216,106496,18710.14732,301750.1596,81920,0,0,30.49423573,173.2916318
1545210130,3.136038701,42893312,270336,386311.1082,389407.6057,53248,0,0,3.561072186,99667968,106496,22731.73188,368351.4491,81920,0,0,32.73203375,196.8104452
1545210110,2.312506705,42876928,270336,315749.799,317920.8413,53248,0,0,2.796316585,116297728,106496,17740.34534,303357.013,81920,0,0,36.96162028,233.5872589
1545210080,0.405534554,42876928,270336,53586.76687,53946.0867,53248,0,0,0.372844521,116396032,106496,2891.524776,51489.55545,81920,0,0,35.01881852,203.1491482
1545209990,3.087787688,42868736,270336,396221.1587,399135.8871,53248,0,0,3.419734069,110325760,106496,22724.9835,380807.3817,81920,0,0,33.21999382,208.0840773
1545209970,3.148909348,42868736,270336,390190.0903,393162.9042,53248,0,0,3.244215753,108142592,106496,22727.11662,373021.3205,81920,0,0,34.98309029,211.7713371
1545209950,3.280940392,42868736,270336,380176.9125,383317.2594,53248,0,0,3.56083015,105172992,106496,22729.61064,364603.0088,81920,0,0,33.06746125,182.9975109
